endereco,fim,tamanho,n_insn,chamadores,chama,strings,perifericos,globais_ram,papel_inferido
0x08007770,0x08007888,0x118,136,0x080076EE,0x0800021E 0x08007888 0x080000F0 0x08006044,=HP8@n,,0x20000698,
0x08007888,0x080078A8,0x20,15,0x08007788 0x0800F020,0x08005DEC,,,0x20000648,
0x080078A8,0x080078B8,0x10,7,0x0800EE66 0x0800EE7E,0x0800F8AE,,,,
0x080078B8,0x080078C8,0x10,7,0x0800EE78 0x0800EF5A,0x08000144,,,,
0x080078C8,0x080078E8,0x20,15,0x0800D37E 0x0800D388 0x0800E05A 0x0800E064,0x0800645A,,,0x200006B0,
0x080078E8,0x0800796C,0x84,63,0x08007528,0x080063D4 0x080039B4 0x080079E0,,RCC+0x0 SPI1+0x0,0x200006B0 0x2000007C,
0x0800796C,0x080079E0,0x74,49,0x08008B18,0x08000250 0x0800734C 0x080073F4,,,,
0x080079E0,0x08007A3C,0x5C,40,0x08007952 0x08008B86,0x08000250 0x0800734C 0x080073F4,,,,
0x08007A3C,0x08007ABC,0x80,57,0x08003F52 0x08003F64,0x08004BAE 0x08004BA4,,GPIOB+0x0,,
0x08007ABC,0x08007AC0,0x4,2,,,,,,
0x08007AC0,0x08007AF0,0x30,23,0x0800188E 0x08001D02,0x08004A20,,RCC+0x0,0x20000524,
0x08007AF0,0x08007B14,0x24,18,0x08007B98,,,,,
0x08007B14,0x08007B4C,0x38,27,0x08001884 0x08001CF4,0x08004A20,,RCC+0x0,0x20000510,
0x08007B4C,0x08007BC0,0x74,56,0x08007D14 0x08007D88 0x08007DD6,0x08004BBC 0x08007AF0,,,,
0x08007BC0,0x08007C2A,0x6A,0,0x08004F5C,,,,,
0x08007C2A,0x08007C94,0x6A,49,0x080050B4,0x08007C94 0x08007DC6 0x08007CB8,,,,
0x08007C94,0x08007CB8,0x24,18,0x08004D32 0x08004E4A 0x08004F96 0x0800500A 0x080050EA 0x08005168 0x08007BD6 0x08007C40,,,,,
0x08007CB8,0x08007D00,0x48,35,0x08004CF6 0x08004D76 0x08004E0E 0x08004E8E 0x08004F32 0x08004FA4 0x08004FDA 0x0800508A,0x08004BBC,,,,
0x08007D00,0x08007D78,0x78,58,0x08004D38,0x08007B4C 0x08004BBC,,,,
0x08007D78,0x08007DC6,0x4E,0,0x08004DB2 0x08004ECA 0x0800501A 0x08005178,,,,,
0x08007DC6,0x08007E18,0x52,39,0x08004E50 0x080050F4 0x08007BE0 0x08007C04 0x08007C4A 0x08007C6E,0x08007B4C 0x08004BBC,,,,
0x08007E18,0x08007E58,0x40,25,0x08007EF8,0x08004BAE 0x0800C5F0 0x08007E58,,,,
0x08007E58,0x08007E66,0xE,7,0x08007E3A 0x08007E48 0x08007E88 0x08007E96 0x08007EC6 0x08007EE6 0x08007F8E 0x08007F9C,,,,,
0x08007E66,0x08007EA6,0x40,25,0x08007F00,0x08004BAE 0x0800C5F0 0x08007E58,,,,
0x08007EA6,0x08007F06,0x60,40,0x08007F42,0x0800C5BC 0x08004BAE 0x08007E58 0x08004BA4 0x08007E18 0x08007E66,,,,
0x08007F06,0x08007F5E,0x58,35,0x08011A74,0x08007FC6 0x08007F5E 0x0800804C 0x0800800A 0x08007EA6,,,,
0x08007F5E,0x08007FC6,0x68,43,0x08007F16 0x08007F32 0x080080B6 0x080080C8,0x0800C5F0 0x08004BAE 0x08007E58,,,,
0x08007FC6,0x0800800A,0x44,26,0x08007F0E 0x08007F2A 0x080080AE,0x0800C5F0 0x08004BAE 0x08007E58,,,,
0x0800800A,0x0800804C,0x42,26,0x08007F22 0x08007F52 0x08008082 0x080080D4 0x080080DE,0x0800C5F0 0x08004BAE 0x08007E58,,,,
0x0800804C,0x080080A8,0x5C,37,0x08007F1A 0x08007F36 0x080080BA 0x080080CC,0x0800C5BC 0x08004BAE 0x08007E58 0x0800800A 0x08004BA4,,,,
0x080080A8,0x080080EC,0x44,27,0x08011A5C 0x08011A64 0x08011A7C,0x08007FC6 0x08007F5E 0x0800804C 0x0800800A,,,0x20000046,
0x080080EC,0x080081B4,0xC8,88,0x08001B72 0x08001DAC 0x0800E954 0x08012814,0x080052AC 0x080039B4 0x0800F06C 0x08008A38 0x080123FC 0x08012E2C 0x0800EFE8 0x080083F0 0x0800EE84 0x0800EF54 0x0800A854,ABC | switch to class %c done\n\r | JOINED\r\n | he parameters or reset Device to apply c,,0x2000028C 0x200000EC 0x20000094 0x20000878,
0x080081B4,0x08008338,0x184,175,0x080124C6,0x080030B8 0x0800F06C 0x08013048 0x08012264 0x08008DC0 0x08009330 0x08008338 0x080120A8 0x080037C4 0x08009AD4,\n\rLSN50 Device\n\r | Image Version: v1.8.1\n\r | LoRaWan Stack: DR-LWS-007\n\r | Frequency Band: ,,0x20000144 0x20000D4C,
0x08008338,0x080083D8,0xA0,74,0x08008254 0x08010B2A 0x08012530 0x08012564,0x08009330 0x080095B8,,,0x200000A2 0x2000016C 0x20000D58,
0x080083D8,0x080083F0,0x18,11,0x0800E1E2 0x0800EABC 0x0800EB24 0x08012734,0x08009238,,,,consulta booleana de estado (rede/join/busy)
0x080083F0,0x08008A38,0x648,754,0x0800817C,0x08009238 0x08009330 0x080131AC 0x0800F8DE 0x080037C4 0x08003714 0x08012420 0x08003388 0x08003B5C 0x08003BDC 0x08003C5C 0x08013BC4,"Receive data\n\r | %d: | %02x  | BuffSize:%d,Run AT+RECVB=? to see detail",,0x20000144 0x20000094 0x2000014B 0x2000014C 0x2000014D 0x2000014E 0x2000012C 0x2000005C,"callback LoRaMac de recepcao: imprime ""Receive data"" e trata downlink"
