endereco,fim,tamanho,n_insn,chamadores,chama,strings,perifericos,globais_ram,papel_inferido
0x08012E2C,0x08012F00,0xD4,100,0x08008170,0x0800F06C,Join Accept:\r\n | Rx1DrOffset:%d\r\n | Rx2Datarate:%d\r\n | ReceiveDelay1:%lu ms\r\n,,0x20000124 0x20001213 0x20001414,impressao de Join Accept (Rx1DrOffset/Rx2Datarate/ReceiveDelay)
0x08012F00,0x08012F3C,0x3C,28,0x08008B22,0x08000250 0x08004A20,,GPIOB+0x0 RCC+0x0,,configura PB5 como saida (trilho 5V)
0x08012F3C,0x08012F88,0x4C,35,0x080017A0 0x08008B90,0x08000250 0x08004A20 0x08004BAE,,GPIOB+0x0 RCC+0x0,,configura PB5 como saida e leva a nivel ALTO
0x08012F88,0x08012FB4,0x2C,21,0x08012FBA,0x080000F0,,,0x20000280,
0x08012FB4,0x08012FCA,0x16,9,0x08002900 0x0800B58E 0x0800BA60,0x08012F88 0x0800011C,,,,
0x08012FCA,0x08013048,0x7E,63,0x080030E4 0x080030FE 0x08003114 0x0800312A 0x0800313C 0x08003AF4 0x08003B0E 0x08003B24,,,,,
0x08013048,0x08013060,0x18,11,0x080081D8 0x080119B0,0x0800F06C,AU915\n\r,,,
0x08013060,0x080130FC,0x9C,70,0x0800CA02,0x08000DD4 0x08000754 0x08000E90 0x08000ACC 0x0800060C,,,,
0x080130FC,0x080131AC,0xB0,86,0x0801256E,0x0800F06C,COUNT1 is %u\r\n | COUNT2 is %u\r\n,,0x20000094 0x2000014B 0x20000218 0x20000124,relatorio de contadores de interrupcao (COUNT1/COUNT2)
0x080131AC,0x080131D0,0x24,17,0x0800846C,0x08012868,,,0x20000ABC 0x20000124,downlink: aplica/valida comando recebido
0x080131D0,0x08013238,0x68,52,0x0801021C,,,,,
0x08013238,0x08013244,0xC,6,0x08008FAA,,,,0x20000280,
0x08013244,0x080132B8,0x74,55,0x08010404 0x08010412 0x08010438 0x08010446 0x08010DE2 0x08010DF0,0x0801354C 0x08011E3C,"""F	I(F",,,
0x080132B8,0x08013334,0x7C,59,0x080103D2 0x080103E0 0x0801080C 0x0801081A,0x0801354C 0x08011E3C,%hhx %hhx %hhx %hhx %hhx %hhx %hhx %hhx,,,
0x08013334,0x080133A0,0x6C,51,0x080107DA 0x080107E8 0x08010D26 0x08010D34,0x0801354C 0x08011E3C,%hhx %hhx %hhx %hhx,,,
0x080133A0,0x08013468,0xC8,100,0x080036B6 0x080036C0 0x080036CC 0x080036D8 0x080036E4 0x080036F0,,,,0x20000144 0x20000CBC,
0x08013468,0x080134A0,0x38,27,0x08012ADE,0x0800044A,v1.8.1,,,
0x080134A0,0x080134B0,0x10,7,0x0800F6EE,0x08006C88,,,0x20000A0C,
0x080134B0,0x0801354C,0x9C,74,0x08001ED8,0x080138EC 0x08004852 0x080118E0 0x080138A8,,,,
0x0801354C,0x08013560,0x14,9,0x0801034E 0x08010642 0x080106DE 0x0801076A 0x080108E0 0x08010962 0x080109FE 0x08010A6A,0x08013560,,,,
0x08013560,0x080137B4,0x254,293,0x08013554,0x08000266 0x0800F8DE 0x080001A4,>>>>j,,,
0x080137B4,0x0801387C,0xC8,89,0x08001CB8,0x0800C7D4 0x080009A8 0x08000770 0x08000840 0x08000754 0x08000AF4,,,0x20000040,
0x0801387C,0x080138A8,0x2C,22,0x0801037E 0x080103B6 0x0801074E 0x08010836 0x0801087C 0x080108C2 0x080108F2 0x08010B40,,,,,
0x080138A8,0x080138EC,0x44,32,0x08006EE6 0x08011F1C 0x080134D0,0x08004A20,,RCC+0x0,,
0x080138EC,0x08013940,0x54,39,0x080023BA 0x080134BA,0x08000250 0x08004A20,,RCC+0x0,,
0x08013940,0x08013974,0x34,24,0x080023B6,0x08006DCC 0x080039B4,,USART1+0x0,0x20000A0C,
0x08013974,0x08013A70,0xFC,109,0x0800F6C4,0x08004BAE 0x08004852 0x0800EE60 0x0800EE6C 0x08004BA4 0x08006766 0x0800677C 0x080009A8 0x08000770 0x08000930 0x08000A68,,GPIOB+0x0,0x20000050 0x200005AC,
0x08013A70,0x08013A80,0x10,7,0x08002A3A,0x0800447C,,,0x2000099C,
0x08013A80,0x08013A90,0x10,7,0x0800B1FE,0x08006C88,,,0x2000099C,
0x08013A90,0x08013ACC,0x3C,28,0x0800F04C,0x08006DCC 0x080039B4,,LPUART1+0x0,0x20000114 0x2000099C,
0x08013ACC,0x08013B2C,0x60,45,0x08006E8C,0x08000250 0x08004A20,,RCC+0x0,,
0x08013B2C,0x08013B58,0x2C,19,0x08002430,0x08006BEC 0x08006BC0 0x08006F14,,,0x20000114 0x2000099C,
0x08013B58,0x08013B6C,0x14,9,0x0800F0CA 0x0800F118,0x08007120,,,0x2000099C,
0x08013B6C,0x08013BC4,0x58,43,0x080018C8 0x080018E2 0x08008C26 0x08008C44 0x08008CC6 0x08008CE4 0x08008CFC 0x08008D14,0x08004EFC,,,0x20000560,UART/console: escrita de string
0x08013BC4,0x08013C04,0x40,23,0x08008642 0x08011A46,0x08004BAE 0x0800F808 0x0800F790 0x08003F50 0x08004852 0x0800F7CC 0x0800F754,,GPIOB+0x0,,
0x08013C04,0x08015AE0,0x1EDC,3920,0x0801020C,0x08706A5C 0x08706A6C 0x08706A7A 0x08C5BE2A 0x089F95C6,ATZ: Trig a reset of the MCU\r\n | +CFS | +RECV | +PORT,,0x20000000 0x2000028C,
